Year,Closing value,Net change,Percentage change
1896,40.45,-0.49,-1.2
1897,49.41,8.96,22.15
1898,60.52,11.11,22.49
1899,66.08,5.56,9.19
1900,70.71,4.63,7.01
1901,64.56,-6.15,-8.7
1902,64.29,-0.27,-0.42
1903,49.11,-15.18,-23.61
1904,69.61,20.5,41.74
1905,96.2,26.59,38.2
1906,94.35,-1.85,-1.92
1907,58.75,-35.6,-37.73
1908,86.15,27.4,46.64
1909,99.05,12.9,14.97
1910,81.36,-17.69,-17.86
1911,81.68,0.32,0.39
1912,87.87,6.19,7.58
1913,78.78,-9.09,-10.34
1914,54.58,-24.2,-30.72
1915,99.15,44.57,81.66
1916,95.0,-4.15,-4.19
1917,74.38,-20.62,-21.71
1918,82.2,7.82,10.51
1919,107.23,25.03,30.45
1920,71.95,-35.28,-32.9
1921,81.1,9.15,12.72
1922,98.73,17.63,21.74
1923,95.52,-3.21,-3.25
1924,120.51,24.99,26.16
1925,156.66,36.15,30.0
1926,157.2,0.54,0.34
1927,202.4,45.2,28.75
1928,300.0,97.6,48.22
1929,248.48,-51.52,-17.17
1930,164.58,-83.9,-33.77
1931,77.9,-86.68,-52.67
1932,59.93,-17.97,-23.07
1933,99.9,39.97,66.69
1934,104.04,4.14,4.14
1935,144.13,40.09,38.53
1936,179.9,35.77,24.82
1937,120.85,-59.05,-32.82
1938,154.76,33.91,28.06
1939,150.24,-4.52,-2.92
1940,131.13,-19.11,-12.72
1941,110.96,-20.17,-15.38
1942,119.4,8.44,7.61
1943,135.89,16.49,13.81
1944,152.32,16.43,12.09
1945,192.91,40.59,26.65
1946,177.2,-15.71,-8.14
1947,181.16,3.96,2.23
1948,177.3,-3.86,-2.13
1949,200.13,22.83,12.88
1950,235.41,35.28,17.63
1951,269.23,33.82,14.37
1952,291.9,22.67,8.42
1953,280.9,-11.0,-3.77
1954,404.39,123.49,43.96
1955,488.4,84.01,20.77
1956,499.47,11.07,2.27
1957,435.69,-63.78,-12.77
1958,583.65,147.96,33.96
1959,679.36,95.71,16.4
1960,615.89,-63.47,-9.34
1961,731.14,115.25,18.71
1962,652.1,-79.04,-10.81
1963,762.95,110.85,17.0
1964,874.13,111.18,14.57
1965,969.26,95.13,10.88
1966,785.69,-183.57,-18.94
1967,905.11,119.42,15.2
1968,943.75,38.64,4.27
1969,800.36,-143.39,-15.19
1970,838.92,38.56,4.82
1971,890.2,51.28,6.11
1972,1020.02,129.82,14.58
1973,850.86,-169.16,-16.58
1974,616.24,-234.62,-27.57
1975,852.41,236.17,38.32
1976,1004.65,152.24,17.86
1977,831.17,-173.48,-17.27
1978,805.01,-26.16,-3.15
1979,838.74,33.73,4.19
1980,963.99,125.25,14.93
1981,875.0,-88.99,-9.23
1982,1046.54,171.54,19.6
1983,1258.64,212.1,20.27
1984,1211.57,-47.07,-3.74
1985,1546.67,335.1,27.66
1986,1895.95,349.28,22.58
1987,1938.83,42.88,2.26
1988,2168.57,229.74,11.85
1989,2753.2,584.63,26.96
1990,2633.66,-119.54,-4.34
1991,3168.83,535.17,20.32
1992,3301.11,132.28,4.17
1993,3754.09,452.98,13.72
1994,3834.44,80.35,2.14
1995,5117.12,1282.68,33.45
1996,6448.26,1331.14,26.01
1997,7908.24,1459.98,22.64
1998,9181.43,1273.19,16.1
1999,11497.12,2315.69,25.22
2000,10786.85,-710.27,-6.18
2001,10021.5,-765.35,-7.1
2002,8341.63,-1679.87,-16.76
2003,10453.92,2112.29,25.32
2004,10783.01,329.09,3.15
2005,10717.5,-65.51,-0.61
2006,12463.15,1745.65,16.29
2007,13264.82,801.67,6.43
2008,8776.39,-4488.43,-33.84
2009,10428.05,1651.66,18.82
2010,11577.51,1149.46,11.02
2011,12217.56,640.05,5.53
2012,13104.14,886.58,7.26
2013,16576.66,3472.52,26.5
2014,17823.07,1246.41,7.52
2015,17425.03,-398.04,-2.23
2016,19762.6,2337.57,13.42
2017,24719.22,4956.62,25.08
2018,23327.46,-1391.76,-5.63
2019,28538.44,5210.98,22.34
2020,30606.48,2068.04,7.25
2021,36338.3,5731.82,18.73
2022,33147.25,-3191.05,-8.78
2023,37689.54,4542.29,13.7
2024,42544.22,4854.68,12.88
2025,48063.29,5519.07,12.97
